저작물명,대상저작물상세정보,양수자기관명,양수자주소,양도자기관명,양도자소속,양도자대표주소,양도자연락처,계약체결일
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,조민호,프로덕션,경기도 수원시 영통구 월드컵로 123,010-5263-7418,2024.11.26
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,안재현,이미지스,경기도 안양시 동안구 시민대로 234,010-9630-1485,2024.11.27
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,김서현,비주얼랩,경기도 고양시 일산동구 백석로 345,010-1485-9630,2024.11.28
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,이동현,스튜디오라이트,경기도 용인시 기흥구 용구대로 456,010-2741-8369,2024.11.29
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,정유진,컨텐츠플러스,경기도 부천시 원미구 길주로 567,010-8369-2741,2024.11.30
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,최진우,포토크리에이터,강원도 춘천시 춘천로 678,010-6174-5928,2024.12.01
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,김민지,아트스튜디오,강원도 강릉시 경강로 789,010-5928-6174,2024.12.02
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,박준혁,디지털아트,충청북도 청주시 서원구 흥덕로 890,010-3517-8426,2024.12.03
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,이수연,크리에이티브랩,충청북도 충주시 연수로 123,010-8426-3517,2024.12.04
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,정민수,미디어콘텐츠,충청남도 천안시 동남구 만남로 234,010-7394-2865,2024.12.05
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,최현주,스튜디오엑스,충청남도 아산시 배방읍 고속철대로 345,010-2865-7394,2024.12.06
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,김성훈,비전미디어,전라북도 전주시 완산구 전주천동로 456,010-4172-6583,2024.12.07
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,박지영,클리에이터스,전라북도 익산시 인북로 567,010-6583-4172,2024.12.08
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,이경민,아트랩코리아,전라남도 목포시 평화로 678,010-9285-1746,2024.12.09
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,정태호,디지털크리에이터,전라남도 순천시 중앙로 789,010-1746-9285,2024.12.10
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,최윤아,포토스튜디오,경상북도 포항시 북구 중앙로 890,010-5937-8241,2024.12.11
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,김도현,시각예술연구소,경상북도 경주시 동천로 123,010-8241-5937,2024.12.12
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,박혜림,컬처프로덕션,경상남도 창원시 성산구 중앙대로 234,010-3684-7152,2024.12.13
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,이준호,아트포토,경상남도 진주시 진주대로 345,010-7152-3684,2024.12.14
2024년 공공저작물 디지털 전환 구축 사업의 산출물 일체,사진저작물 영상저작물 등 공공저작물 제작을 목적으로 2024년 공공저작물 디지털 전환구축 사업에 참여하여 산출된 결과물 일체,한국문화정보원,서울특별시 마포구 월드컵북로 400,정다은,미디어아트센터,제주특별자치도 제주시 연삼로 456,010-8529-4761,2024.12.15
